,Name,Span,Matches,Innings,Balls,Over,Maiden,Runs,Wicket,BBI,Avreage,Economy,Strike rate,four wickets in an innings,five wickets in an innings
0,A Kumble,1990-2007,269,263,14376,2396.0,109,10300,334,6/12,30.83,4.29,43.04,8,2
1,J Srinath,1991-2003,229,227,11935,1989.1,137,8847,315,5/23,28.08,4.44,37.88,7,3
2,AB Agarkar,1998-2007,191,188,9484,1580.4,100,8021,288,6/42,27.85,5.07,32.93,10,2
3,Z Khan,2000-2012,194,191,9815,1635.5,112,8102,269,5/42,30.11,4.95,36.48,7,1
4,Harbhajan Singh,1998-2015,234,225,12359,2059.5,83,8872,265,5/31,33.47,4.30,46.63,2,3
5,N Kapil Dev,1978-1994,225,221,11202,1867.0,235,6945,253,5/43,27.45,3.71,44.27,3,1
6,RA Jadeja,2009-2023,197,189,9750,1625.0,56,7936,220,5/33,36.07,4.88,44.31,7,2
7,BKV Prasad,1994-2001,161,160,8129,1354.5,79,6332,196,5/27,32.30,4.67,41.47,3,1
8,Mohammed Shami,2013-2023,101,100,4985,830.5,51,4618,195,7/57,23.68,5.55,25.56,10,5
9,IK Pathan,2004-2012,120,118,5855,975.5,53,5142,173,5/27,29.72,5.26,33.84,5,2
10,Kuldeep Yadav,2017-2024,106,103,5369,894.5,30,4472,172,6/25,26.00,4.99,31.21,7,2
11,M Prabhakar,1984-1996,130,127,6360,1060.0,76,4534,157,5/33,28.87,4.27,40.50,4,2
12,R Ashwin,2010-2023,116,114,6303,1050.3,37,5180,156,4/25,33.20,4.93,40.40,1,-
13,A Nehra,2001-2011,117,117,5637,939.3,53,4899,155,6/23,31.60,5.21,36.36,5,2
14,SR Tendulkar,1989-2012,463,270,8054,1342.2,24,6850,154,5/32,44.48,5.10,52.29,4,2
15,JJ Bumrah,2016-2023,89,88,4580,763.2,57,3509,149,6/19,23.55,4.59,30.73,6,2
16,B Kumar,2012-2022,121,120,5847,974.3,68,4951,141,5/42,35.11,5.08,41.46,4,1
17,RJ Shastri,1981-1992,150,136,6613,1102.1,56,4650,129,5/15,36.04,4.21,51.26,2,1
18,YS Chahal,2016-2023,72,69,3739,623.1,14,3283,121,6/42,27.13,5.26,30.90,5,2
19,I Sharma,2007-2016,80,78,3733,622.1,29,3563,115,4/34,30.98,5.72,32.46,6,-
20,Yuvraj Singh,2000-2017,301,158,4988,831.2,18,4227,110,5/31,38.42,5.08,45.34,2,1
21,UT Yadav,2010-2018,75,73,3558,593.0,23,3565,106,4/31,33.63,6.01,33.56,4,-
22,SC Ganguly,1992-2007,308,170,4543,757.1,30,3835,100,5/16,38.35,5.06,45.43,1,2
23,V Sehwag,1999-2013,241,142,4290,715.0,13,3737,94,4/6,39.75,5.22,45.63,1,-
24,MM Patel,2006-2011,70,67,3154,525.4,38,2603,86,4/29,30.26,4.95,36.67,3,-
25,HH Pandya,2016-2023,86,80,3199,533.1,15,2960,84,4/24,35.23,5.55,38.08,1,-
26,RMH Binny,1980-1987,72,67,2957,492.5,37,2260,77,4/29,29.35,4.58,38.40,3,-
27,P Kumar,2007-2012,68,67,3242,540.2,45,2774,77,4/31,36.02,5.13,42.10,3,-
28,S Sreesanth,2005-2011,53,52,2476,412.4,16,2508,75,6/55,33.44,6.07,33.01,2,1
29,S Madan Lal,1974-1987,67,64,3164,-,44,2137,73,4/20,29.27,4.05,43.34,2,-
30,Mohammed Siraj,2019-2024,44,43,1975,329.1,32,1707,71,6/21,24.04,5.18,27.81,2,1
31,RP Singh,2005-2011,58,57,2565,427.3,31,2343,69,4/35,33.95,5.48,37.17,2,-
32,SB Joshi,1996-2001,69,67,3386,564.2,33,2509,69,5/6,36.36,4.44,49.07,1,1
33,RR Singh,1989-2001,136,117,3734,622.2,28,2985,69,5/22,43.26,4.79,54.11,-,2
34,C Sharma,1983-1994,65,63,2835,472.3,19,2336,67,3/22,34.86,4.94,42.31,-,-
35,Maninder Singh,1983-1993,59,57,3133,522.1,33,2066,66,4/22,31.30,3.95,47.46,1,-
36,SN Thakur,2017-2023,47,46,1940,323.2,10,2014,65,4/37,30.98,6.22,29.84,3,-
37,A Mishra,2003-2016,36,34,1917,319.3,19,1511,64,6/48,23.60,4.72,29.95,2,2
38,AR Patel,2014-2024,60,55,2781,463.3,20,2084,64,3/24,32.56,4.49,43.45,-,-
39,SLV Raju,1990-1996,53,52,2770,461.4,16,2014,63,4/46,31.96,4.36,43.96,2,-
40,DS Mohanty,1997-2001,45,44,1996,332.4,21,1662,57,4/56,29.15,4.99,35.01,1,-
41,N Chopra,1998-2000,39,37,1835,305.5,21,1286,46,5/21,27.95,4.20,39.89,1,1
42,M Amarnath,1975-1989,85,64,2730,-,17,1971,46,3/12,42.84,4.33,59.34,-,-
43,R Vinay Kumar,2010-2013,31,31,1436,239.2,19,1423,38,4/30,37.44,5.94,37.78,1,-
44,M Kartik,2002-2007,37,36,1907,317.5,19,1612,37,6/27,43.56,5.07,51.54,-,1
